"pump_station" "line_segment" "commodity" "line"
"OD" "1-QU-CM" "P47" "1"
"OD" "1-QU-CM" "S35" "1"
"OD" "1-QU-CM" "S11" "1"
"OD" "1-QU-CM" "C47" "1"
"QU" "1-QU-CM" "SYN" "1"
"QU" "1-QU-CM" "E43" "1"
"QU" "1-QU-CM" "C43" "1"
"QU" "1-QU-CM" "P43" "1"
"QU" "1-QU-CM" "S43" "1"
"QU" "1-QU-CM" "NGL" "1"
"QU" "1-QU-CM" "E35" "1"
"QU" "1-QU-CM" "E11" "1"
"QU" "1-QU-CM" "C35" "1"
"QU" "1-QU-CM" "P35" "1"
"QU" "1-QU-CM" "S51" "1"
"QU" "1-QU-CM" "E47" "1"
"QU" "1-QU-CM" "E53" "1"
"QU" "1-QU-CM" "C11" "1"
"QU" "1-QU-CM" "P47" "1"
"QU" "1-QU-CM" "S35" "1"
"QU" "1-QU-CM" "S11" "1"
"QU" "1-QU-CM" "C47" "1"
"WC" "1-QU-CM" "SYN" "1"
"WC" "1-QU-CM" "E43" "1"
"WC" "1-QU-CM" "C43" "1"
"WC" "1-QU-CM" "P43" "1"
"WC" "1-QU-CM" "S43" "1"
"WC" "1-QU-CM" "NGL" "1"
"WC" "1-QU-CM" "E35" "1"
"WC" "1-QU-CM" "E11" "1"
"WC" "1-QU-CM" "C35" "1"
"WC" "1-QU-CM" "P35" "1"
"WC" "1-QU-CM" "S51" "1"
"WC" "1-QU-CM" "E47" "1"
"WC" "1-QU-CM" "E53" "1"
"WC" "1-QU-CM" "C11" "1"
"WC" "1-QU-CM" "P47" "1"
"WC" "1-QU-CM" "S35" "1"
"WC" "1-QU-CM" "S11" "1"
"WC" "1-QU-CM" "C47" "1"
"KB" "1-KB-DY" "S43" "1"
"KB" "1-KB-DY" "SYN" "1"
"KB" "1-KB-DY" "NGL" "1"
"KB" "1-KB-DY" "E35" "1"
"KB" "1-KB-DY" "E11" "1"
"KB" "1-KB-DY" "S35" "1"
"KB" "1-KB-DY" "P35" "1"
"KB" "1-KB-DY" "S51" "1"
"KB" "1-KB-DY" "E43" "1"
"KB" "1-KB-DY" "E47" "1"
"KB" "1-KB-DY" "E53" "1"
"KB" "1-KB-DY" "P43" "1"
"KB" "1-KB-DY" "P11" "1"
"KB" "1-KB-DY" "P47" "1"
"KB" "1-KB-DY" "S11" "1"
